"Symbol";"BuyDate";"SellDate";"SellAtAgeDays";"OriginalBuyQuantity";"SellQuantity";"TotalSellQuantity";"AdjustedOriginalBuyQuantity";"AdjustedSellQuantity";"AdjustedTotalSellQuantity";"OriginalBuyAmount";"BuyAmount";"SellAmount";"TotalSellAmount";"BuyAmountPerShare";"SellAmountPerShare";"AdjustedBuyAmountPerShare";"AdjustedSellAmountPerShare";"Profit";"ProfitPercent"
"AAAP";"22.11.2019 13:46:32";"25.03.2020 15:33:49";"124";"8";"8";"23";"8";"8";"23";"943,84";"943,84";"640,47999999999999999999999998";"1841,38";"117,98";"80,06";"117,98";"80,06";"-303,36";"-0,32141040854382097"
"AAAR";"22.11.2019 17:27:40";"25.03.2020 15:33:31";"124";"140";"140";"140";"140";"140";"140";"652,40";"652,40";"406,00";"406,00";"4,66";"2,90";"4,66";"2,90";"-246,40";"-0,3776824034334764"
"AAAS";"22.11.2019 17:21:49";"24.10.2020 17:11:37";"337";"18";"18";"38";"18";"18";"38";"710,82";"710,82";"914,5799999999999999999999999";"1930,78";"39,49";"50,81";"39,49";"50,81";"203,76";"0,2866548493289441"
"AAAS";"16.04.2020 16:51:19";"24.10.2020 17:11:37";"191";"20";"20";"38";"20";"20";"38";"969,80";"969,80";"1016,2000000000000000000000001";"1930,78";"48,49";"50,81";"48,49";"50,81";"46,40";"0,047844916477624254"
"AAAT";"04.12.2019 15:48:08";"24.10.2020 17:16:06";"325";"22";"14";"14";"22";"14";"14";"1672,44";"1064,2800000000000000000000001";"1076,04";"1076,04";"76,02";"76,86";"76,02";"76,86";"11,76";"0,011049723756906077"
"AAAV";"29.05.2020 17:17:16";"24.10.2020 17:15:40";"148";"2";"2";"7,11917437";"2";"2";"7,11917437";"346,20";"346,20";"366,23999999999999999999999995";"1303,6632106344";"173,10";"183,12";"173,10";"183,12";"20,04";"0,05788561525129983"
"AAAV";"10.06.2020 11:55:26";"24.10.2020 17:15:40";"136";"5,11917437";"5,11917437";"7,11917437";"5,11917437";"5,11917437";"7,11917437";"900,0020459897";"900,0020459897";"937,4232106344000000000000000";"1303,6632106344";"175,81";"183,12";"175,81";"183,12";"37,4211646447";"0,04157897730504522"
"AAAX";"16.11.2019 15:18:38";"16.04.2020 16:49:14";"152";"70";"70";"70";"70";"70";"70";"949,20";"949,20";"756,00";"756,00";"13,56";"10,80";"13,56";"10,80";"-193,20";"-0,20353982300884957"
"AAAY";"16.11.2019 15:17:48";"17.04.2020 13:53:58";"153";"2";"2";"2";"2";"2";"2";"1321,64";"1321,64";"1199,04";"1199,04";"660,82";"599,52";"660,82";"599,52";"-122,60";"-0,09276353621258437"
"AAAZ";"20.05.2020 18:24:44";"24.10.2020 17:11:52";"157";"1";"1";"1";"1";"1";"1";"104,97";"104,97";"122,58";"122,58";"104,97";"122,58";"104,97";"122,58";"17,61";"0,16776221777650757"
"AABA";"10.06.2020 11:55:26";"22.09.2020 15:44:43";"104";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1799,9999966160";"1799,9999966160";"1722,4279178544";"1722,4279178544";"1186,20";"1135,08";"1186,20";"1135,08";"-77,5720787616";"-0,043095599393019726"
