"Symbol";"BuyDate";"SellDate";"SellAtAgeDays";"OriginalBuyQuantity";"SellQuantity";"TotalSellQuantity";"AdjustedOriginalBuyQuantity";"AdjustedSellQuantity";"AdjustedTotalSellQuantity";"OriginalBuyAmount";"BuyAmount";"SellAmount";"TotalSellAmount";"BuyAmountPerShare";"SellAmountPerShare";"AdjustedBuyAmountPerShare";"AdjustedSellAmountPerShare";"Profit";"ProfitPercent"
"AAAC";"04.12.2019 15:42:08";"27.03.2021 12:24:43";"479";"4";"4";"262";"16";"16";"262";"455,44";"455,44";"730,71999999999999999999999976";"11965,54";"113,86";"45,67";"28,465";"45,67";"275,280";"0,6044264886702968"
"AAAC";"17.12.2019 15:06:48";"27.03.2021 12:24:43";"466";"1";"1";"262";"4";"4";"262";"104,81";"104,81";"182,68000000000000000000000054";"11965,54";"104,81";"45,67";"26,2025";"45,67";"77,8700";"0,7429634576853354"
"AAAC";"20.12.2019 15:32:41";"27.03.2021 12:24:43";"463";"5";"5";"262";"20";"20";"262";"534,75";"534,75";"913,4000000000000000000000003";"11965,54";"106,95";"45,67";"26,7375";"45,67";"378,6500";"0,7080878915381018"
"AAAC";"20.12.2019 15:33:21";"27.03.2021 12:24:43";"463";"5";"5";"262";"20";"20";"262";"534,35";"534,35";"913,4000000000000000000000003";"11965,54";"106,87";"45,67";"26,7175";"45,67";"379,0500";"0,7093665200711144"
"AAAC";"25.03.2020 15:36:46";"27.03.2021 12:24:43";"367";"4";"4";"262";"16";"16";"262";"495,88";"495,88";"730,71999999999999999999999976";"11965,54";"123,97";"45,67";"30,9925";"45,67";"234,8400";"0,4735823183028152"
"AAAC";"17.04.2020 13:55:12";"27.03.2021 12:24:43";"344";"5";"5";"262";"20";"20";"262";"659,45";"659,45";"913,4000000000000000000000003";"11965,54";"131,89";"45,67";"32,9725";"45,67";"253,9500";"0,3850936386382592"
"AAAC";"21.04.2020 15:40:32";"27.03.2021 12:24:43";"340";"8";"8";"262";"32";"32";"262";"1075,92";"1075,92";"1461,4399999999999999999999995";"11965,54";"134,49";"45,67";"33,6225";"45,67";"385,5200";"0,3583166034649416"
"AAAC";"01.05.2020 14:49:04";"27.03.2021 12:24:43";"330";"6";"6";"262";"24";"24";"262";"829,32";"829,32";"1096,0799999999999999999999996";"11965,54";"138,22";"45,67";"34,555";"45,67";"266,760";"0,321661119953697"
"AAAC";"17.11.2020 14:45:45";"27.03.2021 12:24:43";"130";"50";"50";"262";"50";"50";"262";"2401,50";"2401,50";"2283,5000000000000000000000002";"11965,54";"48,03";"45,67";"48,03";"45,67";"-118,00";"-0,049135956693733086"
"AAAD";"16.11.2019 15:12:06";"22.09.2020 15:31:56";"311";"15";"15";"30";"15";"15";"30";"1161,00";"1161,00";"1121,400";"2242,80";"77,40";"74,76";"77,40";"74,76";"-39,60";"-0,034108527131782945"
"AAAD";"19.03.2020 16:26:03";"22.09.2020 15:31:56";"187";"15";"15";"30";"15";"15";"30";"1038,90";"1038,90";"1121,400";"2242,80";"69,26";"74,76";"69,26";"74,76";"82,50";"0,07941091539127924"
"AAAF";"30.11.2019 15:39:43";"27.03.2021 12:25:36";"483";"20";"20";"28";"20";"20";"28";"2287,80";"2287,80";"5003,6000000000000000000000001";"7005,04";"114,39";"250,18";"114,39";"250,18";"2715,80";"1,1870792901477403"
"AAAF";"16.04.2020 16:49:55";"27.03.2021 12:25:36";"345";"6";"6";"28";"6";"6";"28";"794,40";"794,40";"1501,0800000000000000000000001";"7005,04";"132,40";"250,18";"132,40";"250,18";"706,68";"0,8895770392749245"
"AAAF";"01.05.2020 14:50:46";"27.03.2021 12:25:36";"330";"2";"2";"28";"2";"2";"28";"274,20";"274,20";"500,35999999999999999999999980";"7005,04";"137,10";"250,18";"137,10";"250,18";"226,16";"0,824799416484318"
"AAAH";"24.06.2020 15:10:43";"09.07.2020 11:55:01";"15";"15";"15";"15";"15";"15";"15";"286,20";"286,20";"152,10";"152,10";"19,08";"10,14";"19,08";"10,14";"-134,10";"-0,46855345911949686"
"AAAI";"25.03.2020 15:40:57";"22.09.2020 15:31:26";"181";"31";"31";"182,43137254";"31";"31";"182,43137254";"704,01";"704,01";"553,66000000000000000000000012";"3258,2243135644";"22,71";"17,86";"22,71";"17,86";"-150,35";"-0,21356230735358875"
"AAAI";"20.05.2020 18:22:47";"22.09.2020 15:31:26";"125";"30";"30";"182,43137254";"30";"30";"182,43137254";"530,40";"530,40";"535,79999999999999999999999994";"3258,2243135644";"17,68";"17,86";"17,68";"17,86";"5,40";"0,010180995475113122"
"AAAI";"22.05.2020 14:27:53";"22.09.2020 15:31:26";"123";"22";"22";"182,43137254";"22";"22";"182,43137254";"382,36";"382,36";"392,92000000000000000000000011";"3258,2243135644";"17,38";"17,86";"17,38";"17,86";"10,56";"0,027617951668584582"
"AAAI";"29.05.2020 17:12:57";"22.09.2020 15:31:26";"116";"21";"21";"182,43137254";"21";"21";"182,43137254";"367,29";"367,29";"375,05999999999999999999999993";"3258,2243135644";"17,49";"17,86";"17,49";"17,86";"7,77";"0,02115494568324757"
"AAAI";"16.06.2020 11:55:11";"22.09.2020 15:31:26";"98";"78,43137254";"78,43137254";"182,43137254";"78,43137254";"78,43137254";"182,43137254";"1439,9999998344";"1439,9999998344";"1400,7843135643999999999999999";"3258,2243135644";"18,36";"17,86";"18,36";"17,86";"-39,2156862700";"-0,027233115468409588"
"AAAJ";"22.11.2019 13:11:20";"03.10.2020 15:24:57";"316";"10";"0,77614484";"0,77614484";"50";"0,77614484";"0,77614484";"2496,00";"38,745150412800";"187,1518052692";"187,1518052692";"249,60";"241,13";"49,92";"241,13";"148,4066548564";"3,8303285256410255"
"AAAJ";"22.11.2019 13:11:20";"07.10.2020 13:27:30";"320";"10";"7";"7";"50";"7";"7";"2496,00";"349,4400";"1604,47";"1604,47";"249,60";"229,21";"49,92";"229,21";"1255,03";"3,5915464743589745"
"AAAJ";"22.11.2019 13:11:20";"07.10.2020 13:28:43";"320";"10";"2,22385516";"145";"50";"42,22385516";"145";"2496,00";"2107,814849587200";"9686,574612255599999999999999";"33264,45";"249,60";"229,41";"49,92";"229,41";"7578,7597626684";"3,595552884615385"
"AAAJ";"22.11.2019 13:45:30";"07.10.2020 13:28:43";"320";"6";"6";"145";"30";"30";"145";"1663,20";"1663,20";"6882,2999999999999999999999993";"33264,45";"277,20";"229,41";"55,44";"229,41";"5219,10";"3,137987012987013"
"AAAJ";"23.01.2020 17:50:32";"07.10.2020 13:28:43";"258";"2";"2";"145";"10";"10";"145";"392,18";"392,18";"2294,0999999999999999999999998";"33264,45";"196,09";"229,41";"39,218";"229,41";"1901,920";"4,849609873017492"
"AAAJ";"25.03.2020 15:36:32";"07.10.2020 13:28:43";"196";"2";"2";"145";"10";"10";"145";"685,92";"685,92";"2294,0999999999999999999999998";"33264,45";"342,96";"229,41";"68,592";"229,41";"1608,180";"2,344559132260322"
"AAAJ";"09.07.2020 11:55:07";"07.10.2020 13:28:43";"90";"10,11271982";"10,11271982";"145";"10,11271982";"10,11271982";"145";"1475,9514577290";"1475,9514577290";"2319,9590539062000000000000016";"33264,45";"145,95";"229,41";"145,95";"229,41";"844,0075961772";"0,5718396711202467"
"AAAJ";"02.09.2020 12:55:30";"07.10.2020 13:28:43";"35";"10,86342502";"10,86342502";"145";"10,86342502";"10,86342502";"145";"1799,9608915638";"1799,9608915638";"2492,1783338382000000000000014";"33264,45";"165,69";"229,41";"165,69";"229,41";"692,2174422744";"0,3845736013036393"
"AAAJ";"22.09.2020 15:36:56";"07.10.2020 13:28:43";"15";"15";"15";"145";"15";"15";"145";"3384,45";"3384,45";"3441,1499999999999999999999997";"33264,45";"225,63";"229,41";"225,63";"229,41";"56,70";"0,016753091344236137"
"AAAJ";"22.09.2020 15:37:16";"07.10.2020 13:28:43";"15";"9";"9";"145";"9";"9";"145";"2030,04";"2030,04";"2064,6900000000000000000000005";"33264,45";"225,56";"229,41";"225,56";"229,41";"34,65";"0,01706862918957262"
"AAAJ";"22.09.2020 15:45:17";"07.10.2020 13:28:43";"15";"7,8";"7,8";"145";"7,8";"7,8";"145";"1760,070";"1760,070";"1789,3979999999999999999999986";"33264,45";"225,65";"229,41";"225,65";"229,41";"29,328";"0,016662973631730558"
"AAAJ";"07.10.2020 13:29:34";"27.03.2021 12:25:25";"171";"0,00156806";"0,00156806";"43,00156806";"0,00156806";"0,00156806";"43,00156806";"0,3599952148";"0,3599952148";"0,3411157724000000000000000672";"9354,5611157724";"229,58";"217,54";"229,58";"217,54";"-0,0188794424";"-0,05244359264744316"
"AAAJ";"20.10.2020 16:24:48";"27.03.2021 12:25:25";"158";"13";"13";"43,00156806";"13";"13";"43,00156806";"3387,93";"3387,93";"2828,0200000000000000000000000";"9354,5611157724";"260,61";"217,54";"260,61";"217,54";"-559,91";"-0,16526610644257703"
"AAAJ";"24.10.2020 17:14:05";"27.03.2021 12:25:25";"154";"11";"11";"43,00156806";"11";"11";"43,00156806";"3410,11";"3410,11";"2392,9399999999999999999999996";"9354,5611157724";"310,01";"217,54";"310,01";"217,54";"-1017,17";"-0,29828070062256057"
"AAAJ";"24.10.2020 17:16:26";"27.03.2021 12:25:25";"154";"11";"11";"43,00156806";"11";"11";"43,00156806";"3422,54";"3422,54";"2392,9399999999999999999999996";"9354,5611157724";"311,14";"217,54";"311,14";"217,54";"-1029,60";"-0,3008292087163335"
"AAAJ";"26.02.2021 17:16:33";"27.03.2021 12:25:25";"29";"8";"8";"43,00156806";"8";"8";"43,00156806";"1652,88";"1652,88";"1740,3199999999999999999999999";"9354,5611157724";"206,61";"217,54";"206,61";"217,54";"87,44";"0,0529016020521756"
"AAAL";"22.11.2019 17:14:29";"25.03.2020 15:37:51";"124";"55";"55";"59";"55";"55";"59";"729,85";"729,85";"618,19999999999999999999999997";"663,16";"13,27";"11,24";"13,27";"11,24";"-111,65";"-0,15297663903541825"
"AAAL";"17.12.2019 15:07:47";"25.03.2020 15:37:51";"99";"4";"4";"59";"4";"4";"59";"44,88";"44,88";"44,960000000000000000000000027";"663,16";"11,22";"11,24";"11,22";"11,24";"0,08";"0,0017825311942959003"
"AAAM";"16.11.2019 15:15:52";"21.04.2020 15:39:40";"157";"40";"40";"65";"40";"40";"65";"1236,40";"1236,40";"1143,6000000000000000000000000";"1858,35";"30,91";"28,59";"30,91";"28,59";"-92,80";"-0,07505661598188289"
"AAAM";"22.11.2019 13:47:31";"21.04.2020 15:39:40";"151";"25";"25";"65";"25";"25";"65";"772,50";"772,50";"714,74999999999999999999999997";"1858,35";"30,90";"28,59";"30,90";"28,59";"-57,75";"-0,07475728155339806"
"AAAN";"16.11.2019 15:26:09";"16.04.2020 16:51:02";"152";"45";"45";"100";"45";"45";"100";"951,30";"951,30";"730,8000";"1624,00";"21,14";"16,24";"21,14";"16,24";"-220,50";"-0,23178807947019867"
"AAAN";"04.12.2019 15:48:38";"16.04.2020 16:51:02";"134";"20";"20";"100";"20";"20";"100";"429,20";"429,20";"324,800";"1624,00";"21,46";"16,24";"21,46";"16,24";"-104,40";"-0,24324324324324326"
"AAAN";"20.12.2019 15:34:11";"16.04.2020 16:51:02";"118";"30";"30";"100";"30";"30";"100";"621,30";"621,30";"487,200";"1624,00";"20,71";"16,24";"20,71";"16,24";"-134,10";"-0,21583775953645581"
"AAAN";"23.01.2020 17:54:05";"16.04.2020 16:51:02";"84";"19";"5";"100";"19";"5";"100";"327,56";"86,19999999999999999999999999";"81,2000";"1624,00";"17,24";"16,24";"17,24";"16,24";"-5,00";"-0,058004640371229696"
"AAAN";"23.01.2020 17:54:05";"24.10.2020 17:12:24";"275";"19";"14";"59";"19";"14";"59";"327,56";"241,36000000000000000000000001";"254,94000000000000000000000005";"1074,39";"17,24";"18,21";"17,24";"18,21";"13,58";"0,05626450116009281"
"AAAN";"19.03.2020 16:27:43";"24.10.2020 17:12:24";"219";"45";"45";"59";"45";"45";"59";"775,80";"775,80";"819,4500000000000000000000000";"1074,39";"17,24";"18,21";"17,24";"18,21";"43,65";"0,05626450116009281"
"AAAO";"16.11.2019 15:19:30";"15.04.2020 15:35:04";"151";"25";"25";"25";"25";"25";"25";"1200,75";"1200,75";"840,50";"840,50";"48,03";"33,62";"48,03";"33,62";"-360,25";"-0,300020820320633"
"AAAP";"16.11.2019 15:13:44";"25.03.2020 15:33:49";"130";"15";"15";"23";"15";"15";"23";"1719,00";"1719,00";"1200,9000000000000000000000000";"1841,38";"114,60";"80,06";"114,60";"80,06";"-518,10";"-0,30139616055846424"
"AAAP";"22.11.2019 13:46:32";"25.03.2020 15:33:49";"124";"8";"8";"23";"8";"8";"23";"943,84";"943,84";"640,47999999999999999999999998";"1841,38";"117,98";"80,06";"117,98";"80,06";"-303,36";"-0,32141040854382097"
"AAAR";"22.11.2019 17:27:40";"25.03.2020 15:33:31";"124";"140";"140";"140";"140";"140";"140";"652,40";"652,40";"406,00";"406,00";"4,66";"2,90";"4,66";"2,90";"-246,40";"-0,3776824034334764"
"AAAS";"22.11.2019 17:21:49";"24.10.2020 17:11:37";"337";"18";"18";"38";"18";"18";"38";"710,82";"710,82";"914,5799999999999999999999999";"1930,78";"39,49";"50,81";"39,49";"50,81";"203,76";"0,2866548493289441"
"AAAS";"16.04.2020 16:51:19";"24.10.2020 17:11:37";"191";"20";"20";"38";"20";"20";"38";"969,80";"969,80";"1016,2000000000000000000000001";"1930,78";"48,49";"50,81";"48,49";"50,81";"46,40";"0,047844916477624254"
"AAAT";"04.12.2019 15:48:08";"24.10.2020 17:16:06";"325";"22";"14";"14";"22";"14";"14";"1672,44";"1064,2800000000000000000000001";"1076,04";"1076,04";"76,02";"76,86";"76,02";"76,86";"11,76";"0,011049723756906077"
"AAAV";"29.05.2020 17:17:16";"24.10.2020 17:15:40";"148";"2";"2";"7,11917437";"2";"2";"7,11917437";"346,20";"346,20";"366,23999999999999999999999995";"1303,6632106344";"173,10";"183,12";"173,10";"183,12";"20,04";"0,05788561525129983"
"AAAV";"10.06.2020 11:55:26";"24.10.2020 17:15:40";"136";"5,11917437";"5,11917437";"7,11917437";"5,11917437";"5,11917437";"7,11917437";"900,0020459897";"900,0020459897";"937,4232106344000000000000000";"1303,6632106344";"175,81";"183,12";"175,81";"183,12";"37,4211646447";"0,04157897730504522"
"AAAX";"16.11.2019 15:18:38";"16.04.2020 16:49:14";"152";"70";"70";"70";"70";"70";"70";"949,20";"949,20";"756,00";"756,00";"13,56";"10,80";"13,56";"10,80";"-193,20";"-0,20353982300884957"
"AAAY";"16.11.2019 15:17:48";"17.04.2020 13:53:58";"153";"2";"2";"2";"2";"2";"2";"1321,64";"1321,64";"1199,04";"1199,04";"660,82";"599,52";"660,82";"599,52";"-122,60";"-0,09276353621258437"
"AAAZ";"20.05.2020 18:24:44";"24.10.2020 17:11:52";"157";"1";"1";"1";"1";"1";"1";"104,97";"104,97";"122,58";"122,58";"104,97";"122,58";"104,97";"122,58";"17,61";"0,16776221777650757"
"AABA";"10.06.2020 11:55:26";"22.09.2020 15:44:43";"104";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1,51745068";"1799,9999966160";"1799,9999966160";"1722,4279178544";"1722,4279178544";"1186,20";"1135,08";"1186,20";"1135,08";"-77,5720787616";"-0,043095599393019726"
